1371:{"user_id":1371,"zipcode":10471,"latitude":39.50885177541568,"longitude":-73.34478169222643,"heart_rate":92}
16304:{"user_id":16304,"zipcode":10030,"latitude":39.12546690257105,"longitude":-74.74822168508948,"heart_rate":66}
8455:{"user_id":8455,"zipcode":10035,"latitude":40.89234108165398,"longitude":-74.88576981237232,"heart_rate":74}
12344:{"user_id":12344,"zipcode":11004,"latitude":39.77691256853026,"longitude":-73.45081276342144,"heart_rate":93}
262:{"user_id":262,"zipcode":10115,"latitude":39.04360838870375,"longitude":-74.33419715480731,"heart_rate":125}
894:{"user_id":894,"zipcode":11004,"latitude":39.514309334153744,"longitude":-73.27438523596992,"heart_rate":53}
15893:{"user_id":15893,"zipcode":10122,"latitude":40.19560724508968,"longitude":-74.42469533240636,"heart_rate":71}
9249:{"user_id":9249,"zipcode":10311,"latitude":40.652939350712266,"longitude":-73.04151097478294,"heart_rate":86}
2195:{"user_id":2195,"zipcode":10308,"latitude":39.40247155064507,"longitude":-74.36584621463484,"heart_rate":100}
17983:{"user_id":17983,"zipcode":11005,"latitude":39.5745536310381,"longitude":-74.02544801759298,"heart_rate":102}
6336:{"user_id":6336,"zipcode":10158,"latitude":40.831065839574535,"longitude":-74.89077550435103,"heart_rate":73}
10575:{"user_id":10575,"zipcode":10026,"latitude":40.44578458646277,"longitude":-73.770022083088,"heart_rate":107}
16772:{"user_id":16772,"zipcode":10016,"latitude":39.83205373106608,"longitude":-73.51444241058836,"heart_rate":95}
2542:{"user_id":2542,"zipcode":10080,"latitude":39.03595317233608,"longitude":-73.86018245899619,"heart_rate":61}
16449:{"user_id":16449,"zipcode":11001,"latitude":39.09158008661292,"longitude":-73.58480685771612,"heart_rate":86}
492:{"user_id":492,"zipcode":10075,"latitude":40.56647960468845,"longitude":-74.40664733347398,"heart_rate":67}
14631:{"user_id":14631,"zipcode":10041,"latitude":39.34983494312688,"longitude":-74.54451686687203,"heart_rate":65}
1664:{"user_id":1664,"zipcode":10008,"latitude":40.62139792155851,"longitude":-74.79220413880205,"heart_rate":122}
11644:{"user_id":11644,"zipcode":10055,"latitude":39.800843495142914,"longitude":-74.80816253046072,"heart_rate":61}
6419:{"user_id":6419,"zipcode":10132,"latitude":40.639938435776386,"longitude":-74.03549753770126,"heart_rate":105}
15461:{"user_id":15461,"zipcode":10310,"latitude":40.266677059416956,"longitude":-74.33570818319612,"heart_rate":106}
13923:{"user_id":13923,"zipcode":10464,"latitude":39.89881472048295,"longitude":-73.71058030466781,"heart_rate":48}
5429:{"user_id":5429,"zipcode":10113,"latitude":39.29081546241339,"longitude":-73.45401411476165,"heart_rate":122}
14845:{"user_id":14845,"zipcode":10249,"latitude":39.89401540248027,"longitude":-73.15647950718191,"heart_rate":98}
2767:{"user_id":2767,"zipcode":10455,"latitude":39.26916050127857,"longitude":-74.69398715988699,"heart_rate":45}
775:{"user_id":775,"zipcode":10045,"latitude":40.63462744321604,"longitude":-74.5058493554929,"heart_rate":66}
6366:{"user_id":6366,"zipcode":10282,"latitude":40.79606470779904,"longitude":-74.35172075302806,"heart_rate":53}
295:{"user_id":295,"zipcode":10454,"latitude":39.9468120151438,"longitude":-73.01730875652756,"heart_rate":97}
16470:{"user_id":16470,"zipcode":11005,"latitude":40.088415914668005,"longitude":-74.4656984336425,"heart_rate":117}
